indice_1,indice_2,codigo_1,codigo_2,establecimiento_1,establecimiento_2,direccion_1,direccion_2,telefono_1,telefono_2,similitud_nombre,similitud_direccion,telefono_igual,campos_diferentes,decision,justificacion
198,199,16-01-0587-46,16-01-0588-46,LICEO MIXTO EN COMPUTACION DEL NORTE,LICEO MIXTO EN COMPUTACION DEL NORTE,"1A. CALLE Y 2A. AVENIDA LOTE 204, BARRIO EL CENTRO","1A. CALLE Y 2A. AVENIDA LOTE 204, BARRIO EL CENTRO",48633323,48633323,100.0,100.0,True,NINGUNO,CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
233,259,16-01-0918-46,16-01-1058-46,LICEO PREUNIVERSITARIO DE NORTE,LICEO PREUNIVERSITARIO,"3A. AVENIDA 8-32, ZONA 10","3A. AVENIDA 8-28, ZONA 10",79417346,49745753,100.0,95.65,False,"ESTABLECIMIENTO, DIRECCION, TELEFONO",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
236,237,16-01-0926-46,16-01-0927-46,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,2A. CALLE 1-99 ZONA 4 COBAN,2A. CALLE 1-99 ZONA 4,33622052,33622052,100.0,100.0,True,DIRECCION,CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
257,286,16-01-1055-46,16-01-8294-46,LICEO PREUNIVERSITARIO,LICEO PREUNIVERSITARIO DEL NORTE,"3A. AVENIDA 8-28, ZONA 10",3A. AVENIDA 8-32 BARRIO LA LIBERTAD ZONA 10,49745753,49745753,100.0,87.8,True,"ESTABLECIMIENTO, DIRECCION",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
258,288,16-01-1057-46,16-01-8331-46,LICEO PREUNIVERSITARIO,LICEO PREUNIVERSITARIO DEL NORTE,"3A. AVENIDA 8-28, ZONA 10",3A. AVENIDA 8-32 BARRIO LA LIBERTAD ZONA 10,49745753,49745753,100.0,87.8,True,"ESTABLECIMIENTO, DIRECCION",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
311,313,16-03-0076-46,16-03-0082-46,COLEGIO MIXTO CIENCIAS TECNOLÓGICAS,COLEGIO MIXTO CIENCIAS TECNOLÓGICAS,3A. CALLE 0-43 ZONA 3 BARRIO SAN SEBASTIAN,"3A. CALLE 0-43 ZONA 3, BARRIO SAN SEBASTIÁN",44848051,59070869,100.0,100.0,False,"DIRECCION, TELEFONO, DIRECTOR",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
340,341,16-03-0272-46,16-03-0273-46,COLEGIO DE FORMACIÓN TÉCNICO-PROFESIONAL NEXUS,COLEGIO DE FORMACIÓN TÉCNICO-PROFESIONAL NEXUS,"0 AVENIDA 1-71 ZONA 5, SAN CRISTOBAL VERAPAZ","0 AVENIDA 1-71 ZONA 5, SAN CRISTOBAL VERAPAZ",35883366,35883366,100.0,100.0,True,"DISTRITO, SUPERVISOR",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
350,351,16-03-9884-46,16-03-9885-46,LICEO SAN CRISTOBAL,LICEO SAN CRISTOBAL,"5A. CALLE 4-18 ZONA 1, BARRIO SANTA ANA","5A. CALLE 4-18 ZONA 1, BARRIO SANTA ANA",57332422,57332422,100.0,100.0,True,NINGUNO,CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
464,470,16-09-0844-46,16-09-0863-46,COLEGIO SAGRADA FAMILIA,COLEGIO SAGRADA FAMILIA,4TA. CALLE FINAL ZONA 1,4A. CALLE FINAL ZONA 1,51866549,51866549,100.0,97.67,True,DIRECCION,CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
626,629,16-16-0135-46,16-16-0139-46,LICEO CRISTIANO EBENEZER,LICEO CRISTIANO EBENEZER,"BARRIO CAMPO NUEVO, ZONA 2","BARRIO CAMPO NUEVO, ZONA 2",57439100,57439100,100.0,100.0,True,NINGUNO,CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
640,645,16-17-0123-46,16-17-0151-46,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,BARRIO SANTA MARÍA,BARRIO SANTA MARÍA,45050788,45050788,100.0,100.0,True,ESTABLECIMIENTO,CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
670,836,04-01-0129-46,04-01-3173-46,INSTITUTO EVANGÉLICO AMÉRICA LATINA,INSTITUTO EVANGÉLICO AMÉRICA LATINA,6A. AVENIDA 3-48 ZONA 5,6A. AVENIDA 3-48 ZONA 5,78391447,77282600,100.0,100.0,False,TELEFONO,CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
696,782,04-01-0199-46,04-01-2294-46,"CENTRO DE ESTUDIOS TECNICOS Y AVANZADOS DE CHIMALTENANGO ""C.E.T.A.CH.""","CENTRO DE ESTUDIOS TECNICOS Y AVANZADOS DE CHIMALTENANGO ""C.E.T.A.CH.""",8A. AVENIDA 3-59 ZONA 2,8A. AVENIDA 3-59 ZONA 2,77741100,77741100,100.0,100.0,True,NINGUNO,CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
712,713,04-01-0264-46,04-01-0266-46,COLEGIO GABRIEL G&R,COLEGIO GABRIEL G&R,3A. AVENIDA 2-143 ZONA 7 BUENA VISTA NORTE,3A. AVENIDA 2-143 ZONA 7 BUENA VISTA NORTE,41409698,41409698,100.0,100.0,True,"DISTRITO, SUPERVISOR",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
724,725,04-01-0300-46,04-01-0301-46,CENTRO EDUCATIVO LA ESCUELA EN SU CASA CHIMALTENANGO,CENTRO EDUCATIVO LA ESCUELA EN SU CASA CHIMALTENANGO,5A. AVENIDA 1-45 ZONA 4,5A. AVENIDA 1-45 ZONA 4,78391189,78391189,100.0,100.0,True,NINGUNO,CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
773,775,04-01-0711-46,04-01-2103-46,CORPORACION DE INFORMATICA EDUCATIVA NACIONAL CIEN,CORPORACION DE INFORMATICA EDUCATIVA NACIONAL 'CIEN',"6A. CALLE 4-54, QUINTAS LOS APOSENTOS I, ZONA 1","6A. CALLE 4-54, ZONA 1, QUINTAS LOS APOSENTOS I",,,98.04,100.0,False,"DISTRITO, ESTABLECIMIENTO, DIRECCION, SUPERVISOR",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
793,810,04-01-2747-46,04-01-2934-46,"COLEGIO MIXTO ""SANTA ANA""","COLEGIO MIXTO ""SANTA ANA""",2A. CALLE 5-52 ZONA 4,2A. CALLE 5-52 ZONA 4,78391533,78391533,100.0,100.0,True,DISTRITO,CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
800,824,04-01-2827-46,04-01-3018-46,"CENTRO DE ESTUDIOS TECNICOS Y AVANZADOS DE CHIMALTENANGO ""C.E.T.A.CH.""","CENTRO DE ESTUDIOS TECNICOS Y AVANZADOS DE CHIMALTENANGO ""C.E.T.A.CH. """,8A. AVENIDA 3-59 ZONA 2,8A. AVENIDA 3-59 ZONA 2,77741100,77741100,97.6,100.0,True,ESTABLECIMIENTO,CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
808,809,04-01-2900-46,04-01-2901-46,INSTITUTO PRIVADO MIXTO DE COMPUTACION INFORMATICA,INSTITUTO PRIVADO MIXTO DE COMPUTACION INFORMATICA,"6A. AVENIDA Y 1A. CALLE, NO. 126 ZONA 5","6A. AVENIDA Y 1A. CALLE, NO. 126 ZONA 5",78491919,78491919,100.0,100.0,True,"DISTRITO, SUPERVISOR, DIRECTOR",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
811,812,04-01-2941-46,04-01-2942-46,LICEO TECNOLOGICO BILINGUE CUAUHTEMALLAN DE CHIMALTENANGO,LICEO TECNOLOGICO BILINGUE CUAUHTEMALLAN DE CHIMALTENANGO,2A. CALLE 4-70 ZONA 4,2A. CALLE 4-70 ZONA 4,79370528,79370528,100.0,100.0,True,NINGUNO,CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
826,838,04-01-3066-46,04-01-3245-46,TECNOLÓGICO PREUNIVERSITARIO,TECNOLOGICO PREUNIVERSITARIO,3ERA. CALLE 7-54 ZONA 3,3A. CALLE 7-54 ZONA 3,41502786,78394519,100.0,95.24,False,"ESTABLECIMIENTO, DIRECCION, TELEFONO",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
840,841,04-01-3253-46,04-01-3254-46,INSTITUTO TECNICO INDUSTRIAL,INSTITUTO TECNICO INDUSTRIAL,"9A. CALLE DE LOS CLAVELES 3-76 ZONA 1, QUINTAS LOS APOSENTOS","9A. CALLE DE LOS CLAVELES 3-76 ZONA 1, QUINTAS LOS APOSENTOS",78396913,78396913,100.0,100.0,True,NINGUNO,CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
863,888,04-03-0204-46,04-03-3046-46,"LICEO CRISTIANO ""JERUSALEN""","LICEO CRISTIANO ""JERUSALEN""",SAN MARTÍN JILOTEPEQUE,10A. CALLE 1-42 ZONA 1,78448635,78448635,100.0,23.26,True,"DISTRITO, DIRECCION",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
868,870,04-03-0218-46,04-03-0229-46,COLEGIO PRIVADO EL VALLE,COLEGIO PRIVADO EL VALLE,"LOTIFICACIÓN NUEVO SAN MARTÍN, BARRIO SAN GASPAR","LOTIFICACIÓN NUEVO SAN MARTÍN, BARRIO SAN GASPAR",78448617,78448617,100.0,100.0,True,DISTRITO,CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
891,917,04-04-0029-46,04-04-3227-46,CENTRO EDUCATIVO FORMACION Y CIENCIA,CENTRO EDUCATIVO FORMACION Y CIENCIA,7A. AVENIDA 7-30 SECTOR CHUWI CRUZ ZONA 2,"7A. AVENIDA 7-30 SECTOR CHUWI CRUZ, ZONA 2",47002395,54424207,100.0,100.0,False,"DISTRITO, DIRECCION, TELEFONO, SUPERVISOR, DIRECTOR",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
921,922,04-05-0017-46,04-05-0021-46,"LICEO TECNOLÓGICO BILINGÜE ""EL ROBLE""","LICEO TECNOLÓGICO BILINGÜE ""EL ROBLE""",3ER. CALLEJÓN 2-66 ZONA 1,3ER. CALLEJÓN 2-66 ZONA 1,33624194,32862605,100.0,100.0,False,"DISTRITO, TELEFONO, DIRECTOR",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
949,950,04-06-3151-46,04-06-3152-46,COLEGIO EVANGELICO ISRAEL,COLEGIO EVANGELICO ISRAEL,1A. CALLE 2-39 ZONA 4,1A. CALLE 2-39 ZONA 4,78403792,78404465,100.0,100.0,False,TELEFONO,CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
1002,1004,04-12-0043-46,04-12-0051-46,INSTITUTO PRIVADO MIXTO ORIZABA,INSTITUTO PRIVADO MIXTO ORIZABA,PRIMER CANTÓN,PRIMER CANTÓN,58197435,58197435,100.0,100.0,True,"DISTRITO, SUPERVISOR",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
1017,1031,04-13-0016-46,04-13-3232-46,LICEO CAMPO ALEGRE,LICEO CAMPO ALEGRE,CANTÓN SAN PEDRO Y SAN PABLO,CANTON SAN PEDRO Y SAN PABLO,51018627,52709821,100.0,100.0,False,"DIRECCION, TELEFONO",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
1093,1103,20-01-0119-46,20-01-0182-46,LICEO TECNOLOGICO BILINGUE CHIQUIMULTECO,LICEO TECNOLOGICO BILINGUE CHIQUIMULTECO,6A. CALLE 5-17 ZONA 1,6A CALLE 5-17 ZONA 1,79492282,79626334,100.0,100.0,False,"DIRECCION, TELEFONO, DIRECTOR",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
1106,1117,20-01-0185-46,20-01-0223-46,"COLEGIO CIENTIFICO EN INFORMATICA, ELECTRONICA Y TELECOMUNICACIONES ADY","COLEGIO CIENTÍFICO EN INFORMÁTICA, ELECTRÓNICA Y TELECOMUNICACIONES ADY",3A. CALLE 8-41 ZONA 1,3RA. CALLE 8-41 ZONA 1,50949178,59457725,100.0,97.56,False,"ESTABLECIMIENTO, DIRECCION, TELEFONO",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
1154,1155,20-01-2349-46,20-01-2351-46,LICEO TECNOCIENCIA BILINGUE DE CHIQUIMULA,LICEO TECNOCIENCIA BILINGUE DE CHIQUIMULA,4A. CALLE 9-30 ZONA 1,4A. CALLE 9-30 ZONA 1,59352245 / 79438029,79438419,100.0,100.0,False,TELEFONO,CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
1171,1182,20-04-0069-46,20-04-0135-46,COLEGIO CENTRO CULTURAL CAMPO REAL,COLEGIO CENTRO CULTURAL CAMPO REAL,BARRIO SAN LORENZO,BARRIO SAN LORENZO,76465604,79465751,100.0,100.0,False,"TELEFONO, DIRECTOR",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
1222,1223,20-07-0111-46,20-07-0114-46,"COLEGIO DE EDUCACIÓN PARA ADULTOS ""SEMILLA DE VIDA""","COLEGIO DE EDUCACION PARA ADULTOS ""SEMILLA DE VIDA""",3A. CALLE 2-13 ZONA 2 BARRIO NUEVO,3A. CALLE 2-13 ZONA 2 BARRIO NUEVO,59748507,59748507,100.0,100.0,True,ESTABLECIMIENTO,CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
1320,1620,00-01-0158-46,00-01-0652-46,COLEGIO TECNICO PROGRESISTA CETECPRO,COLEGIO TÉCNICO PROGRESISTA,2A. AVENIDA 3-59,2A. AVENIDA 3-59,22512759,22512759,100.0,100.0,True,ESTABLECIMIENTO,CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
1330,1586,00-01-0179-46,00-01-0594-46,ESCUELA NORMAL PARA MAESTROS DE EDUCACION MUSICAL JESUS MARIA ALVARADO,ESCUELA NORMAL PARA MAESTROS DE EDUCACIÓN MUSICAL JESÚS MARÍA ALVARADO,"10A. AVENIDA 2-24,",10 AVENIDA 2-24,58068368,58571956,100.0,96.77,False,"ESTABLECIMIENTO, DIRECCION, TELEFONO, DIRECTOR",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
1347,1366,00-01-0197-46,00-01-0218-46,LICEO TECNOLÓGICO GUATEMALA DE LA ASUNCION,LICEO TECNOLOGICO GUATEMALA DE LA ASUNCION,3A. CALLE 7-64,3A. CALLE 7-64,54452951,54452951,100.0,100.0,True,ESTABLECIMIENTO,CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
1367,1543,00-01-0219-46,00-01-0506-46,CENTRO DE ESTUDIOS WINBRIDGE,CENTRO DE ESTUDIOS WINBRIDGE,8A CALLE 2-40,8A. CALLE 2-40,22146400,22146400,100.0,100.0,True,DIRECCION,CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
1368,1605,00-01-0220-46,00-01-0631-46,"LICEO "" FRANCES """,LICEO FRANCÉS,5A AVE. 9-80,5A. AVENIDA 9-80,22325538,22325538,100.0,84.62,True,"ESTABLECIMIENTO, DIRECCION",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
1372,1651,00-01-0225-46,00-01-0706-46,COLEGIO COMERCIAL GUATEMALTECO,COLEGIO COMERCIAL GUATEMALTECO,10A CALLE 11-44,10A. CALLE 11-44,22534824,22534824,100.0,100.0,True,DIRECCION,CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
1382,1596,00-01-0238-46,00-01-0608-46,INSTITUTO TECNOLÓGICO DE COMPUTACION I.T.C.,INSTITUTO TECNOLÓGICO DE COMPUTACIÓN I.T.C.,2A CALLE 11-65,2A. CALLE 11-65,22200060,22200060,100.0,100.0,True,"ESTABLECIMIENTO, DIRECCION",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
1386,1731,00-01-0243-46,00-01-0855-46,CENTRO EDUCACIONAL MIXTO PRIVADO KINGSTON,"CENTRO EDUCACIONAL MIXTO PRIVADO ""KINGSTON""",8A CALLE 12-46,8A. CALLE 12-46,22320683,22320683,97.62,100.0,True,"ESTABLECIMIENTO, DIRECCION",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
1397,2037,00-01-0254-46,00-01-8599-46,"COLEGIO MIXTO ""INDO LATINO""","COLEGIO MIXTO ""INDO LATINO""",4A AVE. 13-35,4A. AVENIDA 13-35,22380338,22380338,100.0,85.71,True,DIRECCION,CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
1408,2275,00-01-0266-46,00-02-7035-46,LICEO DE COMPUTACION C.S.S.,LICEO DE COMPUTACION C.S.S.,10 AVENIDA 11-46,10 AVENIDA 11-46,22513059,22513059,100.0,100.0,True,NINGUNO,CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
